Model,Best Params,MSE,R2,Model Path
RandomForest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",31.70555757148741,0.8769561483196531,models/RandomForest_best_model.pkl
GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",19.547322867251683,0.9241401798343098,models/GradientBoosting_best_model.pkl
